所属的二进制名*,包含的Git工程ID*,所属的所属模块名*,是否影响永不倒用例,CK文件名,console文件名,最近编译时间,Git路径,所属Git仓库ID,仓库名称,仓库路径,已归档,默认分支,仓库https地址,仓库SSH地址,仓库全名称,仓库全路径,是否已授权
mmpaymisapprovaldaokvsvr,578896,mmpaymisapprovaldaokvsvr,均不影响,CK_mmpaymisapprovaldaokvsvr,mmpaymisapprovaldaokvsvrConsole,,http://git.woa.com/mmpay_wpts/wpts_mis/tree/master/domain/mmpaymisapprovaldaokvsvr,578896,wpts_mis,wpts_mis,否,master,https://git.woa.com/mmpay_wpts/wpts_mis.git,git@git.woa.com:mmpay_wpts/wpts_mis.git,mmpay_wpts/wpts_mis,mmpay_wpts/wpts_mis,是
alter_apply_timeout_close,1032141,mmpaymchallotpayscript,均不影响,CK_alter_apply_timeout_close,alter_apply_timeout_closeConsole,2024-10-11 10:03:44,http://git.woa.com/mmpay_wxpay/mch_entrust_allotted_pay/tree/master/daemon/alter_apply_timeout_close,1032141,mch_entrust_allotted_pay,mch_entrust_allotted_pay,否,master,https://git.woa.com/mmpay_wxpay/mch_entrust_allotted_pay.git,git@git.woa.com:mmpay_wxpay/mch_entrust_allotted_pay.git,mmpay_wxpay/mch_entrust_allotted_pay,mmpay_wxpay/mch_entrust_allotted_pay,是
mmpayyhthttpbroker,689267,mmpayyhthttpbroker,仅目标资产影响,CK_mmpayyhthttpbroker,mmpayyhthttpbrokerConsole,2024-10-09 15:26:16,http://git.woa.com/mmpay_yht/yht/tree/master/gateway/mmpayyhthttpbroker,689267,yht,yht,否,master,https://git.woa.com/mmpay_yht/yht.git,git@git.woa.com:mmpay_yht/yht.git,mmpay_yht/yht,mmpay_yht/yht,是
mmpaysecuritybroker,229479,mmpaysecuritybroker,仅目标资产影响,CK_mmpaysecuritybroker,mmpaysecuritybrokerConsole,2024-09-10 19:17:23,http://git.woa.com/mmpay_svn/mmpaygateway/tree/master/mmpaysecuritybroker,229479,mmpaygateway,mmpaygateway,否,master,https://git.woa.com/mmpay_svn/mmpaygateway.git,git@git.woa.com:mmpay_svn/mmpaygateway.git,mmpay_svn/mmpaygateway,mmpay_svn/mmpaygateway,是
quorumdeamon,1107136,mmpaygroupbuyttlkv,仅目标资产影响,CK_quorumdeamon,quorumdeamonConsole,,http://git.woa.com/wxg-comm/platform_pay/tree/master/deamon_shell,1107136,platform_pay,platform_pay,否,master,https://git.woa.com/wxg-comm/platform_pay.git,git@git.woa.com:wxg-comm/platform_pay.git,wxg-comm/platform_pay,wxg-comm/platform_pay,是
mmpaymchapplymentbroker,166121,mmpaymchapplymentbroker,仅目标资产影响,CK_mmpaymchapplymentbroker,mmpaymchapplymentbrokerConsole,2025-02-27 12:07:46,http://git.woa.com/mmpay_wxpay/mch_apply/tree/master/gateway/mmpaymchapplymentbroker,166121,mch_apply,mch_apply,否,master,https://git.woa.com/mmpay_wxpay/mch_apply.git,git@git.woa.com:mmpay_wxpay/mch_apply.git,mmpay_wxpay/mch_apply,mmpay_wxpay/mch_apply,是
mmpaymultisetnotifyeventmq,246326,mmpaymultisetnotifyeventmq,仅目标资产影响,CK_mmpaymultisetnotifyeventmq,mmpaymultisetnotifyeventmqConsole,2023-10-25 18:53:42,http://git.woa.com/mmpay_svn/mmtenpay/tree/master/mmpaybasic/mmpaycallback/mmpaynotifyeventmq,246326,mmtenpay,mmtenpay,否,master,https://git.woa.com/mmpay_svn/mmtenpay.git,git@git.woa.com:mmpay_svn/mmtenpay.git,mmpay_svn/mmtenpay,mmpay_svn/mmtenpay,是
mmpayordernormalizationsvr,246267,mmpayordernormalizationsvr,仅目标资产影响,CK_mmpayordernormalizationsvr,mmpayordernormalizationsvrConsole,2024-09-14 15:12:29,http://git.woa.com/mmpay_svn_sec/mmpaynewton/tree/master/commsvr/mmpayordernormalizationsvr,246267,mmpaynewton,mmpaynewton,否,master,https://git.woa.com/mmpay_svn_sec/mmpaynewton.git,git@git.woa.com:mmpay_svn_sec/mmpaynewton.git,mmpay_svn_sec/mmpaynewton,mmpay_svn_sec/mmpaynewton,是
mmpaysmallbooklotteryactivitymqworker,347569,mmpaysmallbooklotteryactivitymq,仅目标资产影响,CK_mmpaysmallbooklotteryactivitymqworker,mmpaysmallbooklotteryactivitymqworkerConsole,2024-11-21 19:45:41,http://git.woa.com/mmpay_small_book/lottery_activity/tree/master/application/mmpaysmallbooklotteryactivitymq,347569,lottery_activity,lottery_activity,否,master,https://git.woa.com/mmpay_small_book/lottery_activity.git,git@git.woa.com:mmpay_small_book/lottery_activity.git,mmpay_small_book/lottery_activity,mmpay_small_book/lottery_activity,是
mmpayffsettleeventprocessor,246326,mmpayffsettleeventprocessor,仅目标资产影响,CK_mmpayffsettleeventprocessor,mmpayffsettleeventprocessorConsole,2024-10-28 15:48:19,http://git.woa.com/mmpay_svn/mmtenpay/tree/master/mmpaybasic/mmpayff/events/mmpayffsettleeventprocessor,246326,mmtenpay,mmtenpay,否,master,https://git.woa.com/mmpay_svn/mmtenpay.git,git@git.woa.com:mmpay_svn/mmtenpay.git,mmpay_svn/mmtenpay,mmpay_svn/mmtenpay,是
mmpayiotbasicaosvr,425979,mmpayiotbasicaosvr,仅目标资产影响,CK_mmpayiotbasicaosvr,mmpayiotbasicaosvrConsole,2024-09-20 10:52:36,http://git.woa.com/mmpay_face_business/device_manage/tree/master/domain/mmpayiotbasicaosvr,425979,device_manage,device_manage,否,master,https://git.woa.com/mmpay_face_business/device_manage.git,git@git.woa.com:mmpay_face_business/device_manage.git,mmpay_face_business/device_manage,mmpay_face_business/device_manage,是
mmpaymchassistseclogicsvr,166119,mmpaymchassistseclogicsvr,仅目标资产影响,CK_mmpaymchassistseclogicsvr,mmpaymchassistseclogicsvrConsole,2024-08-21 17:12:46,http://git.woa.com/mmpay_wxpay/mch_sec/tree/master/gateway_api/mmpaymchassistseclogicsvr,166119,mch_sec,mch_sec,否,master,https://git.woa.com/mmpay_wxpay/mch_sec.git,git@git.woa.com:mmpay_wxpay/mch_sec.git,mmpay_wxpay/mch_sec,mmpay_wxpay/mch_sec,是
mmpayzljhttpbroker,1014580,mmpayzljhttpbroker,均不影响,CK_mmpayzljhttpbroker,mmpayzljhttpbrokerConsole,2024-10-24 16:34:58,http://git.woa.com/mmpay_ta_zzt_sys/ta_mch_weekwealth/tree/master/gateway/mmpayzljhttpbroker,1014580,ta_mch_weekwealth,ta_mch_weekwealth,否,master,https://git.woa.com/mmpay_ta_zzt_sys/ta_mch_weekwealth.git,git@git.woa.com:mmpay_ta_zzt_sys/ta_mch_weekwealth.git,mmpay_ta_zzt_sys/ta_mch_weekwealth,mmpay_ta_zzt_sys/ta_mch_weekwealth,是
mmpayshelfactivitymq,834515,mmpayshelfactivitymq,仅目标资产影响,CK_mmpayshelfactivitymq,mmpayshelfactivitymqConsole,2024-11-07 14:43:22,http://git.woa.com/mmpay_small_book/order_assistant/tree/master/application/mmpayshelfactivitymq,834515,order_assistant,order_assistant,否,master,https://git.woa.com/mmpay_small_book/order_assistant.git,git@git.woa.com:mmpay_small_book/order_assistant.git,mmpay_small_book/order_assistant,mmpay_small_book/order_assistant,是
mmpayindustrycallbackproxy,166020,mmpayindustrycallbackproxy,仅目标资产影响,CK_mmpayindustrycallbackproxy,mmpayindustrycallbackproxyConsole,2024-12-03 14:28:12,http://git.woa.com/mmpay_wpts/wpts/tree/master/application/mmpayindustrycallbackproxy,166020,wpts,wpts,否,master,https://git.woa.com/mmpay_wpts/wpts.git,git@git.woa.com:mmpay_wpts/wpts.git,mmpay_wpts/wpts,mmpay_wpts/wpts,是
mmpayrisknotify4user,234403,mmpayrisknotify4user,仅目标资产影响,CK_mmpayrisknotify4user,mmpayrisknotify4userConsole,2025-02-13 16:21:03,http://git.woa.com/mmpay_svn/mmpay/tree/master/mmpayrisk/mmpayriskaccount/mmpayrisknotify,234403,mmpay,mmpay,否,master,https://git.woa.com/mmpay_svn/mmpay.git,git@git.woa.com:mmpay_svn/mmpay.git,mmpay_svn/mmpay,mmpay_svn/mmpay,是
mmpaynewtonuseracctdaosvr,319467,mmpaynewtonuseracctdaosvr,仅目标资产影响,CK_mmpaynewtonuseracctdaosvr,mmpaynewtonuseracctdaosvrConsole,2024-12-24 11:17:56,http://git.woa.com/mmpay_wxpscore/payscore_account_management/tree/master/domain/mmpaynewtonuseracctdaosvr,319467,payscore_account_management,payscore_account_management,否,master,https://git.woa.com/mmpay_wxpscore/payscore_account_management.git,git@git.woa.com:mmpay_wxpscore/payscore_account_management.git,mmpay_wxpscore/payscore_account_management,mmpay_wxpscore/payscore_account_management,是
mmpaymktbrandunimedi,720183,mmpaymktbrandunimedi,仅目标资产影响,CK_mmpaymktbrandunimedi,mmpaymktbrandunimediConsole,2024-09-11 14:30:54,http://git.woa.com/mmpay_wxpay/brand_unimkt/tree/master/application/mmpaymktbrandunimedi,720183,brand_unimkt,brand_unimkt,否,master,https://git.woa.com/mmpay_wxpay/brand_unimkt.git,git@git.woa.com:mmpay_wxpay/brand_unimkt.git,mmpay_wxpay/brand_unimkt,mmpay_wxpay/brand_unimkt,是
mmpaysmallbookmarketingmq,1012790,mmpaysmallbookmarketingmq,仅目标资产影响,CK_mmpaysmallbookmarketingmq,mmpaysmallbookmarketingmqConsole,2024-12-26 16:29:25,http://git.woa.com/mmpay_small_book/mch_marketing/tree/master/application/mmpaysmallbookmarketingmq,1012790,mch_marketing,mch_marketing,否,master,https://git.woa.com/mmpay_small_book/mch_marketing.git,git@git.woa.com:mmpay_small_book/mch_marketing.git,mmpay_small_book/mch_marketing,mmpay_small_book/mch_marketing,是
mmpaysmbpf2fposproxy,339705,mmpaysmbpf2fposproxy,仅目标资产影响,CK_mmpaysmbpf2fposproxy,mmpaysmbpf2fposproxyConsole,,http://git.woa.com/mmpay_smbp_f2f_pos_device/device_manage/tree/master/application/mmpaysmbpf2fposproxy,339705,device_manage,device_manage,否,master,https://git.woa.com/mmpay_smbp_f2f_pos_device/device_manage.git,git@git.woa.com:mmpay_smbp_f2f_pos_device/device_manage.git,mmpay_smbp_f2f_pos_device/device_manage,mmpay_smbp_f2f_pos_device/device_manage,是
mmpayrefundevdatasvr,234403,mmpayrefundevdatasvr,仅目标资产影响,CK_mmpayrefundevdatasvr,mmpayrefundevdatasvrConsole,2025-01-22 11:18:05,http://git.woa.com/mmpay_svn/mmpay/tree/master/mmpayrefund/mmpayrefundevdatasvr,234403,mmpay,mmpay,否,master,https://git.woa.com/mmpay_svn/mmpay.git,git@git.woa.com:mmpay_svn/mmpay.git,mmpay_svn/mmpay,mmpay_svn/mmpay,是
mmpaypayscoreservicesettleinfoaosvr,735753,mmpaypayscoreservicesettleinfoaosvr,均不影响,CK_mmpaypayscoreservicesettleinfoaosvr,mmpaypayscoreservicesettleinfoaosvrConsole,,http://git.woa.com/mmpay_wxpscore/pss_settle_info/tree/master/application/mmpaypayscoreservicesettleinfoaosvr,735753,pss_settle_info,pss_settle_info,是,master,https://git.woa.com/mmpay_wxpscore/pss_settle_info.git,git@git.woa.com:mmpay_wxpscore/pss_settle_info.git,mmpay_wxpscore/pss_settle_info,mmpay_wxpscore/pss_settle_info,是
mmpayriskaggrpostactionao,166099,mmpayriskaggrpostactionao,仅目标资产影响,CK_mmpayriskaggrpostactionao,mmpayriskaggrpostactionaoConsole,2024-12-19 09:47:47,http://git.woa.com/mmpay_wxpay/aggr_risk/tree/master/application/mmpayriskaggrpostactionao,166099,aggr_risk,aggr_risk,否,master,https://git.woa.com/mmpay_wxpay/aggr_risk.git,git@git.woa.com:mmpay_wxpay/aggr_risk.git,mmpay_wxpay/aggr_risk,mmpay_wxpay/aggr_risk,是
mmpaymchopencirclebizaosvr,234403,mmpaymchopencirclebizaosvr,仅目标资产影响,CK_mmpaymchopencirclebizaosvr,mmpaymchopencirclebizaosvrConsole,2024-10-09 10:49:01,http://git.woa.com/mmpay_svn/mmpay/tree/master/mmpaymchopen/mmpaymchopencirclebizaosvr,234403,mmpay,mmpay,否,master,https://git.woa.com/mmpay_svn/mmpay.git,git@git.woa.com:mmpay_svn/mmpay.git,mmpay_svn/mmpay,mmpay_svn/mmpay,是
mmpaylqtflowsvr,166105,mmpaylqtflowsvr,仅目标资产影响,CK_mmpaylqtflowsvr,mmpaylqtflowsvrConsole,2024-11-21 10:12:02,http://git.woa.com/mmpay_lqt/lqt/tree/master/application/mmpaylqtflowsvr,166105,lqt,lqt,否,master,https://git.woa.com/mmpay_lqt/lqt.git,git@git.woa.com:mmpay_lqt/lqt.git,mmpay_lqt/lqt,mmpay_lqt/lqt,是
mmpaylovefeastcallbackaosvr,623354,mmpaylovefeastcallbackaosvr,仅目标资产影响,CK_mmpaylovefeastcallbackaosvr,mmpaylovefeastcallbackaosvrConsole,2025-02-13 17:42:28,http://git.woa.com/mmpay_wxpwelfare/love_feast/tree/master/application/mmpaylovefeastcallbackaosvr,623354,love_feast,love_feast,否,master,https://git.woa.com/mmpay_wxpwelfare/love_feast.git,git@git.woa.com:mmpay_wxpwelfare/love_feast.git,mmpay_wxpwelfare/love_feast,mmpay_wxpwelfare/love_feast,是
mmpaymchkfmidplatformdaosvr,323610,mmpaymchkfmidplatformdaosvr,仅目标资产影响,CK_mmpaymchkfmidplatformdaosvr,mmpaymchkfmidplatformdaosvrConsole,2024-10-11 12:02:01,http://git.woa.com/mmpay_wxpay/kf/tree/master/domain/mmpaymchkfmidplatformdaosvr,323610,kf,kf,否,master,https://git.woa.com/mmpay_wxpay/kf.git,git@git.woa.com:mmpay_wxpay/kf.git,mmpay_wxpay/kf,mmpay_wxpay/kf,是
mmpayantifraudeventconsumer,798116,mmpayantifraudeventconsumer,仅目标资产影响,CK_mmpayantifraudeventconsumer,mmpayantifraudeventconsumerConsole,2024-09-24 11:01:39,http://git.woa.com/mmpay_antifraud/pay_antifraud/tree/master/application/mmpayantifraudeventconsumer,798116,pay_antifraud,pay_antifraud,否,master,https://git.woa.com/mmpay_antifraud/pay_antifraud.git,git@git.woa.com:mmpay_antifraud/pay_antifraud.git,mmpay_antifraud/pay_antifraud,mmpay_antifraud/pay_antifraud,是
mmpaytradeeventcallback,246326,mmpaytradeeventcallback,仅目标资产影响,CK_mmpaytradeeventcallback,mmpaytradeeventcallbackConsole,2025-02-10 14:41:10,http://git.woa.com/mmpay_svn/mmtenpay/tree/master/mmpaybasic/mmpaycoretrade/mmpaytradeeventcallback,246326,mmtenpay,mmtenpay,否,master,https://git.woa.com/mmpay_svn/mmtenpay.git,git@git.woa.com:mmpay_svn/mmtenpay.git,mmpay_svn/mmtenpay,mmpay_svn/mmtenpay,是
mmpaymkthallactsvr,246326,mmpaymkthallactsvr,仅目标资产影响,CK_mmpaymkthallactsvr,mmpaymkthallactsvrConsole,2024-09-24 18:24:03,http://git.woa.com/mmpay_svn/mmtenpay/tree/master/mmpaymkt/mmpaymkthall/mmpaymkthallactsvr,246326,mmtenpay,mmtenpay,否,master,https://git.woa.com/mmpay_svn/mmtenpay.git,git@git.woa.com:mmpay_svn/mmtenpay.git,mmpay_svn/mmtenpay,mmpay_svn/mmtenpay,是
mmpaymchbatchtranshandlesvr,234403,mmpaymchbatchtranshandlesvr,仅目标资产影响,CK_mmpaymchbatchtranshandlesvr,mmpaymchbatchtranshandlesvrConsole,2024-10-09 09:59:25,http://git.woa.com/mmpay_svn/mmpay/tree/master/mmpaymchtrans/servers/ao/mmpaymchbatchtranshandlesvr,234403,mmpay,mmpay,否,master,https://git.woa.com/mmpay_svn/mmpay.git,git@git.woa.com:mmpay_svn/mmpay.git,mmpay_svn/mmpay,mmpay_svn/mmpay,是
mmpaybindcardinnerbroker,229479,mmpaybindcardinnerbroker,仅目标资产影响,CK_mmpaybindcardinnerbroker,mmpaybindcardinnerbrokerConsole,2024-09-18 18:13:50,http://git.woa.com/mmpay_svn/mmpaygateway/tree/master/mmpayyybroker/mmpaybindcardinnerbroker,229479,mmpaygateway,mmpaygateway,否,master,https://git.woa.com/mmpay_svn/mmpaygateway.git,git@git.woa.com:mmpay_svn/mmpaygateway.git,mmpay_svn/mmpaygateway,mmpay_svn/mmpaygateway,是
mmpaymdorderao,246326,mmpaymdorderao,仅目标资产影响,CK_mmpaymdorderao,mmpaymdorderaoConsole,2024-11-26 14:31:14,http://git.woa.com/mmpay_svn/mmtenpay/tree/master/mmpaymchmgr/mmpaymd/mmpaymdorderao,246326,mmtenpay,mmtenpay,否,master,https://git.woa.com/mmpay_svn/mmtenpay.git,git@git.woa.com:mmpay_svn/mmtenpay.git,mmpay_svn/mmtenpay,mmpay_svn/mmtenpay,是
mmpaytransferappsvr,246326,mmpaytransferappsvr,仅目标资产影响,CK_mmpaytransferappsvr,mmpaytransferappsvrConsole,2025-02-25 10:47:35,http://git.woa.com/mmpay_svn/mmtenpay/tree/master/mmpayapp/mmpaytransfer/mmpaytransferappsvr,246326,mmtenpay,mmtenpay,否,master,https://git.woa.com/mmpay_svn/mmtenpay.git,git@git.woa.com:mmpay_svn/mmtenpay.git,mmpay_svn/mmtenpay,mmpay_svn/mmtenpay,是
mmpaymerchantmomentmq,166053,mmpaymerchantmomentmq,仅目标资产影响,CK_mmpaymerchantmomentmq,mmpaymerchantmomentmqConsole,2024-09-13 10:01:05,http://git.woa.com/mmpay_commerce_cashier/commerce_cashier/tree/master/application/mmpaymerchantmomentmq,166053,commerce_cashier,commerce_cashier,否,master,https://git.woa.com/mmpay_commerce_cashier/commerce_cashier.git,git@git.woa.com:mmpay_commerce_cashier/commerce_cashier.git,mmpay_commerce_cashier/commerce_cashier,mmpay_commerce_cashier/commerce_cashier,是
mmpayfaceyoutufacefeaturegpu4offline,234403,mmpayfaceyoutufacefeaturegpu4offline,仅目标资产影响,CK_mmpayfaceyoutufacefeaturegpu4offline,mmpayfaceyoutufacefeaturegpu4offlineConsole,,http://git.woa.com/mmpay_svn/mmpay/tree/master/mmpayface/mmpayfaceyoutu/mmpayfaceyoutufacefeature,234403,mmpay,mmpay,否,master,https://git.woa.com/mmpay_svn/mmpay.git,git@git.woa.com:mmpay_svn/mmpay.git,mmpay_svn/mmpay,mmpay_svn/mmpay,是
mmpayreceiptmdmgrweb,246326,mmpayreceiptmdmgrweb,仅目标资产影响,CK_mmpayreceiptmdmgrweb,mmpayreceiptmdmgrwebConsole,2024-12-02 14:40:52,http://git.woa.com/mmpay_svn/mmtenpay/tree/master/mmpaymchmgr/mmpayreceipt/mmpayreceiptmdmgrweb,246326,mmtenpay,mmtenpay,否,master,https://git.woa.com/mmpay_svn/mmtenpay.git,git@git.woa.com:mmpay_svn/mmtenpay.git,mmpay_svn/mmtenpay,mmpay_svn/mmtenpay,是
mmpaytranscardstatusaosvr,354168,mmpaytranscardstatusaosvr,仅目标资产影响,CK_mmpaytranscardstatusaosvr,mmpaytranscardstatusaosvrConsole,2024-09-19 14:22:13,http://git.woa.com/mmpay_wpts/wpts_traffic_card/tree/master/gateway/mmpaytranscardstatusaosvr,354168,wpts_traffic_card,wpts_traffic_card,否,master,https://git.woa.com/mmpay_wpts/wpts_traffic_card.git,git@git.woa.com:mmpay_wpts/wpts_traffic_card.git,mmpay_wpts/wpts_traffic_card,mmpay_wpts/wpts_traffic_card,是
mmpayqcspecialsubjectaosvr,325194,mmpayqcspecialsubjectaosvr,仅目标资产影响,CK_mmpayqcspecialsubjectaosvr,mmpayqcspecialsubjectaosvrConsole,2025-01-16 17:47:36,http://git.woa.com/mmpay_wxpay/mch_operation_manage/tree/master/application/mmpayqcspecialsubjectaosvr,325194,mch_operation_manage,mch_operation_manage,否,master,https://git.woa.com/mmpay_wxpay/mch_operation_manage.git,git@git.woa.com:mmpay_wxpay/mch_operation_manage.git,mmpay_wxpay/mch_operation_manage,mmpay_wxpay/mch_operation_manage,是
mmpayfddcontrolsvr,729134,mmpayfddcontrolsvr,仅目标资产影响,CK_mmpayfddcontrolsvr,mmpayfddcontrolsvrConsole,2024-09-13 09:48:08,http://git.woa.com/mmpay_wxpay/mch_fund_departure/tree/master/application/mmpayfddcontrolsvr,729134,mch_fund_departure,mch_fund_departure,否,master,https://git.woa.com/mmpay_wxpay/mch_fund_departure.git,git@git.woa.com:mmpay_wxpay/mch_fund_departure.git,mmpay_wxpay/mch_fund_departure,mmpay_wxpay/mch_fund_departure,是
mmpaylifepayfundauditaosvr,686327,mmpaylifepayfundauditaosvr,仅目标资产影响,CK_mmpaylifepayfundauditaosvr,mmpaylifepayfundauditaosvrConsole,2024-10-15 09:47:19,http://git.woa.com/mmpay_life_pay/operation_manage/tree/master/application/mmpaylifepayfundauditaosvr,686327,operation_manage,operation_manage,否,master,https://git.woa.com/mmpay_life_pay/operation_manage.git,git@git.woa.com:mmpay_life_pay/operation_manage.git,mmpay_life_pay/operation_manage,mmpay_life_pay/operation_manage,是
mmpaymchqcspqualificationconfigsvr,325194,mmpaymchqcspqualificationconfigsvr,仅目标资产影响,CK_mmpaymchqcspqualificationconfigsvr,mmpaymchqcspqualificationconfigsvrConsole,2024-10-17 14:06:50,http://git.woa.com/mmpay_wxpay/mch_operation_manage/tree/master/application/mmpaymchqcspqualificationconfigsvr,325194,mch_operation_manage,mch_operation_manage,否,master,https://git.woa.com/mmpay_wxpay/mch_operation_manage.git,git@git.woa.com:mmpay_wxpay/mch_operation_manage.git,mmpay_wxpay/mch_operation_manage,mmpay_wxpay/mch_operation_manage,是
mmpayiotdevicemanagekvdaosvr,309929,mmpayiotdevicemanagekvdaosvr,仅目标资产影响,CK_mmpayiotdevicemanagekvdaosvr,mmpayiotdevicemanagekvdaosvrConsole,2024-12-06 14:55:34,http://git.woa.com/mmpay_industry_base/IndustryIoT/tree/master/domain/mmpayiotdevicemanagekvdaosvr,309929,IndustryIoT,IndustryIoT,否,master,https://git.woa.com/mmpay_industry_base/IndustryIoT.git,git@git.woa.com:mmpay_industry_base/IndustryIoT.git,mmpay_industry_base/IndustryIoT,mmpay_industry_base/IndustryIoT,是
mmpaymktlotterydrawsubscriber,246326,mmpaymktlotterydrawsubscriber,仅目标资产影响,CK_mmpaymktlotterydrawsubscriber,mmpaymktlotterydrawsubscriberConsole,,http://git.woa.com/mmpay_svn/mmtenpay/tree/master/mmpaymkt/mmpaymktlotterydraw/mmpaymktlotterydrawsubscriber,246326,mmtenpay,mmtenpay,否,master,https://git.woa.com/mmpay_svn/mmtenpay.git,git@git.woa.com:mmpay_svn/mmtenpay.git,mmpay_svn/mmtenpay,mmpay_svn/mmtenpay,是
mmpaycreditmqworker,166054,mmpaycreditmq,仅目标资产影响,CK_mmpaycreditmqworker,mmpaycreditmqworkerConsole,2025-02-14 14:39:21,http://git.woa.com/mmpay_credit/credit/tree/master/mmpaycreditmq,166054,credit,credit,否,master,https://git.woa.com/mmpay_credit/credit.git,git@git.woa.com:mmpay_credit/credit.git,mmpay_credit/credit,mmpay_credit/credit,是
mmpayiotdeviceauthaosvr,309929,mmpayiotdeviceauthaosvr,仅目标资产影响,CK_mmpayiotdeviceauthaosvr,mmpayiotdeviceauthaosvrConsole,2025-02-25 10:14:28,http://git.woa.com/mmpay_industry_base/IndustryIoT/tree/master/domain/mmpayiotdeviceauthaosvr,309929,IndustryIoT,IndustryIoT,否,master,https://git.woa.com/mmpay_industry_base/IndustryIoT.git,git@git.woa.com:mmpay_industry_base/IndustryIoT.git,mmpay_industry_base/IndustryIoT,mmpay_industry_base/IndustryIoT,是
mmpayopenwebankcardlogicsvr,246326,mmpayopenwebankcardlogicsvr,仅目标资产影响,CK_mmpayopenwebankcardlogicsvr,mmpayopenwebankcardlogicsvrConsole,,http://git.woa.com/mmpay_svn/mmtenpay/tree/master/mmpayapp/mmpayfinbusi/mmpaywebankecard/mmpayopenwebankcardlogicsvr,246326,mmtenpay,mmtenpay,否,master,https://git.woa.com/mmpay_svn/mmtenpay.git,git@git.woa.com:mmpay_svn/mmtenpay.git,mmpay_svn/mmtenpay,mmpay_svn/mmtenpay,是
mmpaysmbpecordercommercebizao,319472,mmpaysmbpecordercommercebizao,仅目标资产影响,CK_mmpaysmbpecordercommercebizao,mmpaysmbpecordercommercebizaoConsole,2024-12-03 15:05:01,http://git.woa.com/mmpay_smbp_ec/smbp_ec_order/tree/master/application/mmpaysmbpecordercommercebizao,319472,smbp_ec_order,smbp_ec_order,否,master,https://git.woa.com/mmpay_smbp_ec/smbp_ec_order.git,git@git.woa.com:mmpay_smbp_ec/smbp_ec_order.git,mmpay_smbp_ec/smbp_ec_order,mmpay_smbp_ec/smbp_ec_order,是
mmpaymchinsurancepaymqworker,490991,mmpaymchinsurancepaymq,仅目标资产影响,CK_mmpaymchinsurancepaymqworker,mmpaymchinsurancepaymqworkerConsole,2024-11-25 10:48:13,http://git.woa.com/mmpay_small_book/mch_insurance/tree/master/application/mmpaymchinsurancepaymq,490991,mch_insurance,mch_insurance,否,master,https://git.woa.com/mmpay_small_book/mch_insurance.git,git@git.woa.com:mmpay_small_book/mch_insurance.git,mmpay_small_book/mch_insurance,mmpay_small_book/mch_insurance,是
mmpayccinstalhttpbroker,1173597,mmpayccinstalhttpbroker,仅目标资产影响,CK_mmpayccinstalhttpbroker,mmpayccinstalhttpbrokerConsole,2025-02-27 09:08:54,http://git.woa.com/mmpay_wxpay/loan_potential_customers_management/tree/master/gateway/mmpayccinstalhttpbroker,1173597,loan_potential_customers_management,loan_potential_customers_management,否,master,https://git.woa.com/mmpay_wxpay/loan_potential_customers_management.git,git@git.woa.com:mmpay_wxpay/loan_potential_customers_management.git,mmpay_wxpay/loan_potential_customers_management,mmpay_wxpay/loan_potential_customers_management,是
mmpaynewtonmchrefundsvr,319464,mmpaynewtonmchrefundsvr,仅目标资产影响,CK_mmpaynewtonmchrefundsvr,mmpaynewtonmchrefundsvrConsole,2024-12-03 16:26:35,http://git.woa.com/mmpay_wxpscore/payscore_order/tree/master/application/mmpaynewtonmchrefundsvr,319464,payscore_order,payscore_order,否,master,https://git.woa.com/mmpay_wxpscore/payscore_order.git,git@git.woa.com:mmpay_wxpscore/payscore_order.git,mmpay_wxpscore/payscore_order,mmpay_wxpscore/payscore_order,是
mmpaymchquotastatisticsasyncmqworker,600900,mmpaymchquotastatisticsasyncmq,仅目标资产影响,CK_mmpaymchquotastatisticsasyncmqworker,mmpaymchquotastatisticsasyncmqworkerConsole,2024-10-09 18:25:41,http://git.woa.com/mmpay_wxpay/merchant_pay_quota/tree/master/application/mmpaymchquotastatisticsasyncmq,600900,merchant_pay_quota,merchant_pay_quota,否,master,https://git.woa.com/mmpay_wxpay/merchant_pay_quota.git,git@git.woa.com:mmpay_wxpay/merchant_pay_quota.git,mmpay_wxpay/merchant_pay_quota,mmpay_wxpay/merchant_pay_quota,是
mmpaykidspaycardhongbaokvsvr,770688,mmpaykidspaycardhongbaokvsvr,仅目标资产影响,CK_mmpaykidspaycardhongbaokvsvr,mmpaykidspaycardhongbaokvsvrConsole,2024-11-25 16:26:42,http://git.woa.com/mmpay_wxhongbao/kidspaycard_hongbao/tree/master/domain/mmpaykidspaycardhongbaokvsvr,770688,kidspaycard_hongbao,kidspaycard_hongbao,否,master,https://git.woa.com/mmpay_wxhongbao/kidspaycard_hongbao.git,git@git.woa.com:mmpay_wxhongbao/kidspaycard_hongbao.git,mmpay_wxhongbao/kidspaycard_hongbao,mmpay_wxhongbao/kidspaycard_hongbao,是
